QueryId,DocumentId
1,78
1,44
1,58
1,51
1,28
1,83
1,7
1,53
1,74
1,57
2,154
2,185
2,125
2,165
2,103
2,131
2,153
2,149
2,118
2,156
3,217
3,228
3,201
3,271
3,242
3,293
3,249
3,225
3,265
3,253
4,383
4,354
4,365
4,319
4,359
4,379
4,303
4,382
4,398
4,377
5,418
5,415
5,487
5,414
5,480
5,461
5,485
5,455
5,444
5,451
6,599
6,540
6,497
6,503
6,529
6,554
6,523
6,570
6,533
6,492
7,685
7,645
7,675
7,636
7,623
7,653
7,630
7,642
7,629
7,702
8,774
8,748
8,763
8,775
8,788
8,781
8,726
8,707
8,760
8,723
9,820
9,899
9,843
9,902
9,854
9,849
9,876
9,891
9,895
9,814
10,931
10,932
10,913
10,984
10,930
10,929
10,903
10,904
10,985
10,995
11,1043
11,1056
11,1023
11,1096
11,1088
11,1015
11,1061
11,1040
11,1057
11,1026
12,1152
12,1117
12,1144
12,1177
12,1179
12,1112
12,1138
12,1108
12,1194
12,1131
13,1225
13,1223
13,1263
13,1245
13,1300
13,1232
13,1303
13,1294
13,1289
13,1296
14,1373
14,1371
14,1312
14,1364
14,1386
14,1389
14,1378
14,1328
14,1324
14,1325
15,1432
15,1426
15,1476
15,1449
15,1451
15,1456
15,1439
15,1416
15,1479
15,1472
16,1541
16,1523
16,1538
16,1537
16,1557
16,1543
16,1553
16,1586
16,1565
16,1552
17,1608
17,1659
17,1632
17,1681
17,1696
17,1619
17,1651
17,1697
17,1656
17,1654
18,1778
18,1731
18,1712
18,1734
18,1729
18,1741
18,1748
18,1781
18,1727
18,1702
19,1840
19,1807
19,1870
19,1864
19,1836
19,1866
19,1794
19,1808
19,1798
19,1803
20,1897
20,1975
20,1920
20,1956
20,1968
20,1880
20,1972
20,1909
20,1908
20,1910
21,2022
21,1984
21,2056
21,2025
21,2061
21,1989
21,2073
21,1995
21,2060
21,2046
22,2157
22,2081
22,2131
22,2140
22,2085
22,2117
22,2142
22,2118
22,2092
22,2076
23,2212
23,2252
23,2224
23,2211
23,2189
23,2266
23,2216
23,2249
23,2229
23,2280
24,2341
24,2310
24,2290
24,2327
24,2388
24,2344
24,2367
24,2337
24,2285
24,2322
25,2404
25,2406
25,2454
25,2474
25,2413
25,2473
25,2401
25,2439
25,2476
25,2437
26,2506
26,2508
26,2503
26,2535
26,2570
26,2578
26,2579
26,2573
26,2500
26,2516
27,2598
27,2676
27,2673
27,2656
27,2603
27,2612
27,2624
27,2604
27,2620
27,2634
28,2701
28,2704
28,2757
28,2681
28,2719
28,2770
28,2717
28,2771
28,2769
28,2710
29,2841
29,2774
29,2779
29,2848
29,2786
29,2780
29,2789
29,2838
29,2815
29,2849
30,2898
30,2947
30,2946
30,2954
30,2950
30,2934
30,2895
30,2919
30,2881
30,2940
31,3036
31,3032
31,3055
31,3004
31,2994
31,3020
31,3062
31,3035
31,3082
31,3074
32,3171
32,3107
32,3164
32,3147
32,3106
32,3142
32,3185
32,3094
32,3100
32,3129
33,3238
33,3195
33,3264
33,3197
33,3270
33,3249
33,3214
33,3257
33,3204
33,3193
34,3331
34,3359
34,3339
34,3335
34,3338
34,3308
34,3299
34,3349
34,3357
34,3337
35,3438
35,3434
35,3369
35,3400
35,3381
35,3395
35,3417
35,3454
35,3419
35,3421
36,3511
36,3552
36,3525
36,3549
36,3484
36,3558
36,3488
36,3534
36,3544
36,3468
37,3583
37,3628
37,3645
37,3621
37,3623
37,3601
37,3609
37,3624
37,3635
37,3652
38,3680
38,3679
38,3697
38,3692
38,3690
38,3683
38,3682
38,3661
38,3667
38,3691
39,3713
39,3708
39,3728
39,3709
39,3719
39,3718
39,3705
39,3726
39,3714
39,3712
40,3794
40,3787
40,3826
40,3828
40,3830
40,3734
40,3803
40,3773
40,3770
40,3769
41,3854
41,3840
41,3848
41,3857
41,3864
41,3919
41,3885
41,3891
41,3917
41,3903
42,3980
42,4022
42,4011
42,3986
42,3948
42,3996
42,4016
42,3927
42,3971
42,3987
43,4079
43,4085
43,4060
43,4116
43,4094
43,4102
43,4118
43,4062
43,4120
43,4031
44,4137
44,4220
44,4159
44,4165
44,4213
44,4158
44,4208
44,4131
44,4157
44,4205
45,4269
45,4265
45,4318
45,4301
45,4302
45,4313
45,4292
45,4256
45,4307
45,4294
46,4391
46,4406
46,4347
46,4409
46,4348
46,4362
46,4340
46,4334
46,4414
46,4370
47,4490
47,4460
47,4491
47,4431
47,4457
47,4516
47,4501
47,4434
47,4456
47,4444
48,4560
48,4525
48,4597
48,4598
48,4625
48,4554
48,4568
48,4584
48,4537
48,4617
49,4688
49,4677
49,4668
49,4672
49,4694
49,4695
49,4641
49,4699
49,4649
49,4640
50,4798
50,4741
50,4745
50,4765
50,4739
50,4825
50,4820
50,4777
50,4800
50,4786
51,4854
51,4866
51,4841
51,4905
51,4903
51,4911
51,4878
51,4923
51,4880
51,4872
52,4956
52,5002
52,4953
52,4952
52,4966
52,5030
52,5005
52,4954
52,5010
52,4974
53,5125
53,5093
53,5067
53,5127
53,5080
53,5061
53,5094
53,5110
53,5036
53,5034
54,5139
54,5156
54,5137
54,5149
54,5148
54,5159
54,5147
54,5163
54,5157
54,5144
55,5186
55,5228
55,5192
55,5242
55,5188
55,5224
55,5243
55,5246
55,5184
55,5205
56,5304
56,5361
56,5352
56,5309
56,5289
56,5262
56,5344
56,5307
56,5363
56,5301
57,5407
57,5425
57,5463
57,5415
57,5397
57,5404
57,5374
57,5452
57,5414
57,5435
58,5517
58,5492
58,5494
58,5499
58,5559
58,5534
58,5539
58,5530
58,5541
58,5500
59,5568
59,5597
59,5580
59,5609
59,5648
59,5569
59,5565
59,5624
59,5583
59,5625
60,5733
60,5687
60,5671
60,5677
60,5701
60,5730
60,5673
60,5690
60,5734
60,5698
61,5772
61,5786
61,5799
61,5792
61,5793
61,5831
61,5771
61,5790
61,5850
61,5788
62,5876
62,5943
62,5916
62,5867
62,5942
62,5904
62,5874
62,5895
62,5906
62,5873
63,5957
63,6002
63,5964
63,6045
63,5959
63,6021
63,5976
63,6050
63,6003
63,5988
64,6120
64,6073
64,6109
64,6089
64,6118
64,6058
64,6104
64,6090
64,6105
64,6095
65,6134
65,6188
65,6162
65,6199
65,6181
65,6190
65,6174
65,6167
65,6171
65,6226
66,6274
66,6254
66,6257
66,6275
66,6299
66,6264
66,6250
66,6300
66,6255
66,6282
67,6331
67,6323
67,6342
67,6309
67,6315
67,6393
67,6385
67,6361
67,6368
67,6314
68,6458
68,6488
68,6494
68,6426
68,6492
68,6457
68,6412
68,6477
68,6447
68,6451
69,6595
69,6559
69,6582
69,6542
69,6511
69,6591
69,6533
69,6504
69,6563
69,6601
70,6641
70,6607
70,6631
70,6666
70,6652
70,6697
70,6702
70,6687
70,6679
70,6684
71,6773
71,6705
71,6802
71,6791
71,6801
71,6775
71,6714
71,6719
71,6718
71,6782
72,6856
72,6827
72,6903
72,6882
72,6819
72,6839
72,6845
72,6893
72,6879
72,6809
73,6946
73,6954
73,6931
73,6920
73,6987
73,6962
73,6995
73,6926
73,6976
73,6941
74,7029
74,7083
74,7081
74,7019
74,7091
74,7002
74,7007
74,7075
74,7003
74,7064
75,7132
75,7114
75,7125
75,7185
75,7170
75,7137
75,7181
75,7126
75,7140
75,7173
76,7204
76,7272
76,7219
76,7214
76,7270
76,7293
76,7281
76,7222
76,7285
76,7207
77,7308
77,7387
77,7304
77,7381
77,7393
77,7363
77,7322
77,7332
77,7392
77,7303
78,7446
78,7417
78,7489
78,7483
78,7415
78,7448
78,7406
78,7478
78,7463
78,7447
79,7504
79,7522
79,7525
79,7493
79,7507
79,7523
79,7491
79,7521
79,7495
79,7513
80,7557
80,7616
80,7567
80,7570
80,7542
80,7617
80,7623
80,7571
80,7534
80,7558
81,7701
81,7708
81,7652
81,7689
81,7705
81,7691
81,7719
81,7628
81,7670
81,7629
82,7780
82,7804
82,7793
82,7763
82,7746
82,7822
82,7814
82,7791
82,7743
82,7729
83,7863
83,7917
83,7845
83,7885
83,7849
83,7915
83,7894
83,7891
83,7882
83,7897
84,7953
84,8010
84,7934
84,8011
84,8014
84,7957
84,7999
84,7982
84,7997
84,7952
85,8043
85,8034
85,8124
85,8087
85,8107
85,8035
85,8037
85,8104
85,8036
85,8091
86,8199
86,8163
86,8162
86,8164
86,8185
86,8125
86,8154
86,8134
86,8135
86,8200
87,8295
87,8317
87,8226
87,8293
87,8232
87,8283
87,8281
87,8255
87,8249
87,8272
88,8344
88,8358
88,8389
88,8404
88,8356
88,8405
88,8365
88,8369
88,8349
88,8418
89,8513
89,8526
89,8459
89,8436
89,8474
89,8522
89,8432
89,8464
89,8486
89,8505
90,8595
90,8559
90,8535
90,8539
90,8564
90,8598
90,8532
90,8568
90,8570
90,8599
91,8641
91,8639
91,8700
91,8647
91,8697
91,8646
91,8627
91,8695
91,8687
91,8679
92,8753
92,8722
92,8763
92,8752
92,8726
92,8742
92,8758
92,8774
92,8790
92,8783
93,8851
93,8834
93,8875
93,8822
93,8840
93,8885
93,8825
93,8886
93,8820
93,8878
94,8924
94,8993
94,8992
94,8934
94,8966
94,8947
94,8920
94,8994
94,8922
94,8989
95,9026
95,9003
95,9023
95,9014
95,9042
95,9009
